role,name,team
student,ShawnTanzc,CS2113T-W11-2
student,tengkianen,CS2113T-W11-2
student,felixhalim,CS2113T-W11-2
student,ivanderjmw,CS2113T-W11-2
student,weishuangtan,CS2113T-W11-2
student,theopin,CS2113T-W11-3
student,brandontoh,CS2113T-W11-3
student,domaxi,CS2113T-W11-3
student,adhy-p,CS2113T-W11-3
student,abnermtj,CS2113T-W11-3
student,thngyuxuan,CS2113T-W11-4
student,Promethees,CS2113T-W11-4
student,hungvo0603,CS2113T-W11-4
student,0xZ3RO,CS2113T-W11-4
student,AmeliaTYR,CS2113T-W11-4
student,QX-CHEN,CS2113T-W12-1
student,e0406981,CS2113T-W12-1
student,mhchan163,CS2113T-W12-1
student,czlin98,CS2113T-W12-1
student,arindamshivatrip,CS2113T-W12-1
student,daniellimws,CS2113T-W12-2
student,Kafcis,CS2113T-W12-2
student,wish2023,CS2113T-W12-2
student,alstontham,CS2113T-W12-2
student,amanda-chua,CS2113T-W12-2
student,jazhten,CS2113T-W12-3
student,judowha,CS2113T-W12-3
student,BenardoTang,CS2113T-W12-3
student,Bryanbeh1998,CS2113T-W12-3
student,shikai-zhou,CS2113T-W12-3
student,untitle4,CS2113T-W12-4
student,AndreWongZH,CS2113T-W12-4
student,durianpancakes,CS2113T-W12-4
student,elizabethcwt,CS2113T-W12-4
student,AliciaHo,CS2113T-W12-4
student,rashien3,CS2113T-W13-1
student,sugandha929,CS2113T-W13-1
student,CookieHoodie,CS2113T-W13-1
student,syncode98,CS2113T-W13-1
student,jialerk,CS2113T-W13-1
student,dmbclub,CS2113T-W13-2
student,sixletters,CS2113T-W13-2
student,gohsonghan98,CS2113T-W13-2
student,jerichochua,CS2113T-W13-2
student,hui444,CS2113T-W13-2
student,hughjazzman,CS2113T-W13-3
student,dorianfong98,CS2113T-W13-3
student,PraveenElango,CS2113T-W13-3
student,oasisbeatle,CS2113T-W13-3
student,sevenseasofbri,CS2113T-W13-3
student,skyaxe97,CS2113T-W13-4
student,dojh111,CS2113T-W13-4
student,EdmundEXE,CS2113T-W13-4
student,daniellimzj,CS2113T-W13-4
student,johan9se,CS2113T-W13-4
student,okkhoy,Instructors
